"Date","Price","Open","High","Low","Change %"
"Nov 09, 2018","6.445","6.560","6.585","6.445","-1.50%"
"Nov 08, 2018","6.543","6.460","6.597","6.440","-0.71%"
"Nov 07, 2018","6.590","6.445","6.635","6.445","-0.18%"
"Nov 06, 2018","6.602","6.550","6.602","6.460","0.79%"
"Nov 05, 2018","6.550","6.545","6.550","6.455","0.77%"
"Nov 01, 2018","6.500","6.555","6.555","6.460","0.46%"
"Oct 31, 2018","6.470","6.480","6.560","6.450","-1.60%"
"Oct 30, 2018","6.575","6.585","6.585","6.475","-0.38%"
"Oct 29, 2018","6.600","6.430","6.600","6.430","0.53%"
"Oct 26, 2018","6.565","6.580","6.650","6.560","-0.23%"
"Oct 25, 2018","6.580","6.615","6.650","6.525","0.53%"
"Oct 24, 2018","6.545","6.640","6.655","6.500","0.08%"
"Oct 23, 2018","6.540","6.665","6.670","6.490","-1.95%"
"Oct 22, 2018","6.670","6.620","6.725","6.560","0.76%"
"Oct 19, 2018","6.620","6.720","6.720","6.595","-0.08%"
"Oct 18, 2018","6.625","6.720","6.720","6.595","0.00%"
"Oct 17, 2018","6.625","6.745","6.745","6.620","-0.15%"
"Oct 16, 2018","6.635","6.760","6.760","6.600","-0.23%"
"Oct 15, 2018","6.650","6.765","6.765","6.630","-0.45%"
"Oct 11, 2018","6.680","6.820","6.820","6.665","-0.96%"
"Oct 10, 2018","6.745","6.780","6.840","6.725","-0.59%"
"Oct 09, 2018","6.785","6.910","6.910","6.680","-2.02%"
"Oct 08, 2018","6.925","7.130","7.130","6.770","-0.93%"
"Oct 05, 2018","6.990","7.120","7.120","6.985","-0.36%"
"Oct 04, 2018","7.015","7.090","7.110","6.990","-1.06%"
"Oct 03, 2018","7.090","7.080","7.090","6.940","1.50%"
"Oct 02, 2018","6.985","7.090","7.090","6.965","5.71%"
"Oct 01, 2018","6.608","6.645","6.649","6.515","-0.63%"
"Sep 28, 2018","6.650","6.610","6.655","6.520","0.45%"
"Sep 27, 2018","6.620","6.640","6.640","6.495","1.30%"
"Sep 26, 2018","6.535","6.675","6.675","6.520","-0.61%"
"Sep 25, 2018","6.575","6.665","6.710","6.560","-0.38%"
"Sep 24, 2018","6.600","6.640","6.670","6.575","-0.75%"
