"Date","Price","Open","High","Low","Change %"
"Nov 09, 2018","10.225","10.380","10.400","10.225","-0.63%"
"Nov 08, 2018","10.290","10.190","10.370","10.080","1.88%"
"Nov 07, 2018","10.100","10.200","10.220","9.990","-0.20%"
"Nov 06, 2018","10.120","10.070","10.130","9.970","1.50%"
"Nov 05, 2018","9.970","9.990","10.080","9.960","0.00%"
"Nov 01, 2018","9.970","10.150","10.150","9.940","-0.99%"
"Oct 31, 2018","10.070","9.970","10.100","9.930","1.00%"
"Oct 30, 2018","9.970","10.230","10.230","9.950","-2.45%"
"Oct 29, 2018","10.220","10.100","10.230","9.880","1.29%"
"Oct 26, 2018","10.090","10.360","10.470","10.080","-2.61%"
"Oct 25, 2018","10.360","10.290","10.410","10.270","0.39%"
"Oct 24, 2018","10.320","10.190","10.360","10.110","2.18%"
"Oct 23, 2018","10.100","10.055","10.210","10.040","0.40%"
"Oct 22, 2018","10.060","10.260","10.260","9.980","-1.95%"
"Oct 19, 2018","10.260","10.240","10.310","10.160","-0.68%"
"Oct 18, 2018","10.330","10.220","10.380","10.060","2.38%"
"Oct 17, 2018","10.090","10.250","10.320","9.910","-0.98%"
"Oct 16, 2018","10.190","10.455","10.455","10.150","-2.49%"
"Oct 15, 2018","10.450","10.670","10.670","10.400","-2.06%"
"Oct 11, 2018","10.670","10.640","10.810","10.540","-0.28%"
"Oct 10, 2018","10.700","10.550","10.800","10.550","0.85%"
"Oct 09, 2018","10.610","10.830","10.830","10.480","-0.84%"
"Oct 08, 2018","10.700","11.210","11.230","10.680","-4.72%"
"Oct 05, 2018","11.230","11.070","11.370","10.920","1.26%"
"Oct 04, 2018","11.090","11.360","11.360","11.070","-0.98%"
"Oct 03, 2018","11.200","11.130","11.290","11.000","-1.15%"
"Oct 02, 2018","11.330","11.640","11.640","11.200","0.09%"
"Oct 01, 2018","11.320","11.470","11.530","11.235","-1.05%"
"Sep 28, 2018","11.440","11.270","11.460","11.220","1.24%"
"Sep 27, 2018","11.300","11.380","11.570","11.140","-0.96%"
"Sep 26, 2018","11.410","11.540","11.590","11.300","-0.52%"
"Sep 25, 2018","11.470","11.540","11.770","11.430","-0.17%"
